titulo,valor,data_pagamento,percentual,data_coleta,tipo_evento
01/01/2027,12412543.02,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/04/2021,656686.13,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4605314.75,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,40969174.46,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2024,4062203.64,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2050,34423835.57,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2026,35594194.39,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/08/2020,58940945.03,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2027,19771149.73,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,9593109.56,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,15058319.47,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/07/2017,594504.16,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1947407.47,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,6166701.44,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2021,5463581.64,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2027,24860079.53,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2029,9224828.72,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2025,12671157.68,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2023,8310083.03,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
01/01/2031,1871422.78,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2035,42158513.5,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
15/05/2045,4515816.31,2026-03-19 14:09:15.981700,0,2026-03-19 14:09:15.982373,cupom
